episode,step_count,train_reward,train_throughput,train_drop_rate,train_jamming_failure_rate,train_fairness,epsilon,device,network_type,reward_processing_mode,reward_processing_scale,replay_size,avg_loss,avg_q,mode_usage_harvest,mode_usage_backscatter,mode_usage_active,invalid_action_rate,backscatter_success_rate,active_success_rate
71,200,-2072.737600156091,15.0,0.6282973621103117,0.68,0.185185185185185,0.7491810000000001,cuda,dueling,scale,100.0,28400,0.0005708129753475,-0.2958272430300712,17.0,22.0,5.0,0.01,0.34375,0.5714285714285714
72,200,-1911.506503184052,57.0,0.5917874396135265,0.1914893617021276,0.2823989569752281,0.7453810000000001,cuda,dueling,scale,100.0,28800,0.0005378540727542,-0.2972890871018171,19.0,40.0,10.0,0.0125,0.7884615384615384,0.9411764705882352
73,200,-1974.9787480665543,36.0,0.6055194805194806,0.45,0.4499999999999998,0.741581,cuda,dueling,scale,100.0,29200,0.0005334655313345,-0.3005209904909134,38.0,37.0,7.0,0.01,0.5306122448979592,0.7142857142857143
74,200,-1915.4119091996067,18.0,0.6,0.6136363636363636,0.2918918918918916,0.737781,cuda,dueling,scale,100.0,29600,0.0005262212593515,-0.3001872937381267,45.0,38.0,10.0,0.0125,0.3488372093023256,0.1764705882352941
75,200,-1938.7197545962588,24.0,0.605,0.4193548387096774,0.3147540983606556,0.733981,cuda,dueling,scale,100.0,30000,0.0005328263512637,-0.3033224223554134,31.0,26.0,5.0,0.0075,0.5666666666666667,0.7777777777777778
76,200,-1939.7737200701267,40.0,0.5995085995085995,0.3684210526315789,0.2763385146804835,0.730181,cuda,dueling,scale,100.0,30400,0.0006207538275339,-0.298378892019391,32.0,34.0,8.0,0.02,0.5769230769230769,0.8333333333333334
77,200,-1853.2416012616968,54.0,0.5793450881612091,0.5074626865671642,0.2376528117359412,0.7263809999999999,cuda,dueling,scale,100.0,30800,0.000563537574344,-0.3066531375795602,37.0,57.0,12.0,0.0075,0.5,0.65
78,200,-1893.372662156109,20.0,0.5969125214408233,0.6818181818181818,0.2424242424242423,0.722581,cuda,dueling,scale,100.0,31200,0.0004990723614173,-0.3056763213127851,42.0,23.0,22.0,0.005,0.48,0.1904761904761904
79,200,-1951.162808117558,20.0,0.6050420168067226,0.7,0.3703703703703701,0.718781,cuda,dueling,scale,100.0,31600,0.0005340635907487,-0.3055088591575622,35.0,36.0,7.0,0.0075,0.3,0.625
80,200,-1970.6139072085316,11.0,0.6129303106633082,0.7555555555555555,0.1716312056737586,0.714981,cuda,dueling,scale,100.0,32000,0.0005498996103415,-0.3087606890499592,54.0,35.0,10.0,0.0025,0.2142857142857142,0.125
81,200,-1928.4099580276843,16.0,0.6013686911890505,0.7083333333333334,0.1254901960784313,0.7111810000000001,cuda,dueling,scale,100.0,32400,0.0006777902953035,-0.3097040635347366,45.0,40.0,9.0,0.0075,0.2727272727272727,0.25
82,200,-2079.2039163056043,2.0,0.6198486122792263,0.9166666666666666,0.1333333333333289,0.707381,cuda,dueling,scale,100.0,32800,0.0007284126638842,-0.3111394283175468,30.0,22.0,5.0,0.0125,0.08,0.0
83,200,-1870.131388886683,17.0,0.5928509154315605,0.65,0.3380116959064323,0.703581,cuda,dueling,scale,100.0,33200,0.0006165639222308,-0.3123040635883808,38.0,29.0,16.0,0.02,0.375,0.217391304347826
84,200,-1953.3650813101583,21.0,0.6055276381909548,0.6470588235294118,0.2055944055944055,0.699781,cuda,dueling,scale,100.0,33600,0.0006320288537244,-0.3190498501807451,30.0,26.0,9.0,0.005,0.4210526315789473,0.3571428571428571
85,200,-1944.201703102169,3.0,0.6121575342465754,0.9047619047619048,0.0666666666666661,0.695981,cuda,dueling,scale,100.0,34000,0.0006421983604377,-0.3191548183560371,23.0,11.0,12.0,0.005,0.0909090909090909,0.1052631578947368
86,200,-2087.941940836647,8.0,0.6291497975708502,0.8571428571428571,0.1777777777777772,0.692181,cuda,dueling,scale,100.0,34400,0.0007014938762586,-0.3266590736806393,20.0,32.0,4.0,0.0025,0.1142857142857142,0.5714285714285714
87,200,-2029.203990157408,25.0,0.619887730553328,0.3076923076923077,0.4901960784313722,0.688381,cuda,dueling,scale,100.0,34800,0.0006532089602842,-0.33088294044137,17.0,20.0,6.0,0.0025,0.6785714285714286,0.6666666666666666
88,200,-2051.8481452677665,17.0,0.6193969030154849,0.7758620689655172,0.3265536723163838,0.6845810000000001,cuda,dueling,scale,100.0,35200,0.0007345345710928,-0.3329260095953941,35.0,44.0,16.0,0.01,0.2765957446808511,0.1379310344827586
89,200,-1937.1561184860288,17.0,0.6032285471537808,0.6153846153846154,0.2875621890547261,0.6807810000000001,cuda,dueling,scale,100.0,35600,0.0006291596865048,-0.3338051464408636,18.0,19.0,10.0,0.0075,0.391304347826087,0.4444444444444444
90,200,-2056.85702688538,12.0,0.6257119609438568,0.6153846153846154,0.1655172413793101,0.676981,cuda,dueling,scale,100.0,36000,0.0006242984412529,-0.3365022344142198,21.0,22.0,6.0,0.005,0.3846153846153846,0.25
91,200,-1830.3209724237145,57.0,0.5685106382978723,0.5789473684210527,0.1925333333333333,0.673181,cuda,dueling,scale,100.0,36400,0.0008093608544731,-0.3431092716753482,39.0,59.0,20.0,0.0125,0.5306122448979592,0.1724137931034483
92,200,-2012.525426239888,15.0,0.6147473073736537,0.7692307692307693,0.185185185185185,0.669381,cuda,dueling,scale,100.0,36800,0.0006866134570736,-0.3417170236259699,31.0,35.0,6.0,0.0075,0.2448979591836734,0.3333333333333333
93,200,-1857.7809918491475,34.0,0.5878320479862896,0.5172413793103449,0.3321839080459769,0.665581,cuda,dueling,scale,100.0,37200,0.0006983839144231,-0.3454556178301572,35.0,45.0,13.0,0.005,0.4827586206896552,0.2857142857142857
94,200,-1991.6623512050635,20.0,0.6102819237147595,0.6666666666666666,0.2339181286549706,0.661781,cuda,dueling,scale,100.0,37600,0.0007294953695964,-0.3507123750448226,40.0,38.0,11.0,0.0025,0.3529411764705882,0.1176470588235294
95,200,-1890.5098510373143,37.0,0.5948419301164726,0.2972972972972973,0.4728842832469774,0.6579809999999999,cuda,dueling,scale,100.0,38000,0.0007280122830707,-0.3463519151508808,43.0,28.0,11.0,0.0125,0.6944444444444444,0.7058823529411765
96,200,-1746.4076459925343,50.0,0.5636998254799301,0.238095238095238,0.2705627705627705,0.654181,cuda,dueling,scale,100.0,38400,0.0008473466034047,-0.3507002344727516,31.0,36.0,6.0,0.01,0.8490566037735849,0.5
97,200,-1871.2055146658045,34.0,0.5913338997451147,0.4090909090909091,0.3535168195718653,0.650381,cuda,dueling,scale,100.0,38800,0.0007592556455347,-0.3556184546649456,44.0,34.0,13.0,0.0125,0.55,0.5714285714285714
98,200,-2033.1164029802544,14.0,0.6010318142734308,0.75,0.2107526881720428,0.6465810000000001,cuda,dueling,scale,100.0,39200,0.0007307705718267,-0.3544440816342831,33.0,35.0,9.0,0.005,0.25,0.1428571428571428
99,200,-1853.9130768191783,31.0,0.5899403239556692,0.1935483870967742,0.2346764346764346,0.642781,cuda,dueling,scale,100.0,39600,0.0007092333234322,-0.3538256393373012,32.0,23.0,8.0,0.0025,0.6538461538461539,0.875
100,200,-1897.1600018787096,34.0,0.5949579831932773,0.4285714285714285,0.3853333333333332,0.638981,cuda,dueling,scale,100.0,40000,0.0006969552475493,-0.3557699469476938,28.0,30.0,15.0,0.0125,0.4736842105263157,0.7619047619047619
101,200,-1975.650311623426,28.0,0.6062602965403624,0.6545454545454545,0.3438596491228068,0.635181,cuda,dueling,scale,100.0,40400,0.0009071331351879,-0.3543218246102333,46.0,49.0,7.0,0.0025,0.4385964912280701,0.3
102,200,-1871.7441408531408,66.0,0.5804878048780487,0.4032258064516129,0.2892430278884462,0.631381,cuda,dueling,scale,100.0,40800,0.0008620796263858,-0.3572233542799949,48.0,45.0,20.0,0.0075,0.6911764705882353,0.6129032258064516
103,200,-2087.596684126667,9.0,0.624693376941946,0.7777777777777778,0.1636363636363633,0.627581,cuda,dueling,scale,100.0,41200,0.0007841589023882,-0.3580145540833473,32.0,22.0,9.0,0.015,0.0303030303030303,0.6153846153846154
104,200,-1988.2000987083425,16.0,0.6116666666666667,0.7291666666666666,0.3878787878787872,0.623781,cuda,dueling,scale,100.0,41600,0.000813799133175,-0.3649014765024185,22.0,38.0,13.0,0.0125,0.2631578947368421,0.2608695652173913
105,200,-1908.384241487404,35.0,0.5938023450586265,0.5849056603773585,0.1165002377555872,0.619981,cuda,dueling,scale,100.0,42000,0.0008640621919767,-0.3623742958903312,35.0,47.0,7.0,0.0125,0.4459459459459459,0.1666666666666666
106,200,-1949.5970204421187,21.0,0.6071726438698916,0.5,0.3542168674698792,0.6161810000000001,cuda,dueling,scale,100.0,42400,0.0009798795628012,-0.3522610141336917,37.0,28.0,10.0,0.005,0.4285714285714285,0.6
107,200,-1915.3137244987452,19.0,0.5949913644214162,0.7678571428571429,0.534814814814814,0.6123810000000001,cuda,dueling,scale,100.0,42800,0.0008888088818639,-0.3570468647032976,25.0,48.0,11.0,0.01,0.1917808219178082,0.2941176470588235
108,200,-1831.2454107880887,24.0,0.5849387040280211,0.5609756097560976,0.1714285714285713,0.608581,cuda,dueling,scale,100.0,43200,0.0009020697901723,-0.3593970456719398,43.0,41.0,1.0,0.0125,0.4444444444444444,0.0
109,200,-2082.067259073134,32.0,0.6249027237354086,0.40625,0.3313915857605177,0.604781,cuda,dueling,scale,100.0,43600,0.0008426315789984,-0.3596821351349353,40.0,24.0,9.0,0.005,0.5277777777777778,0.9285714285714286
110,200,-1922.8812468161568,31.0,0.5984974958263773,0.4418604651162791,0.3463063063063062,0.600981,cuda,dueling,scale,100.0,44000,0.0008260232428438,-0.3637923378497362,31.0,36.0,8.0,0.0075,0.44,0.6428571428571429
111,200,-2056.238260021649,28.0,0.6215360253365004,0.5135135135135135,0.4839506172839503,0.597181,cuda,dueling,scale,100.0,44400,0.0011108811516896,-0.3575429244339466,46.0,28.0,9.0,0.0025,0.4571428571428571,0.75
112,200,-1950.0740897373532,41.0,0.5962171052631579,0.5666666666666667,0.3139122315592903,0.5933809999999999,cuda,dueling,scale,100.0,44800,0.0009895468381,-0.3601491513848305,36.0,49.0,13.0,0.0075,0.4266666666666667,0.4285714285714285
113,200,-2192.7271468972062,7.0,0.6260229132569558,0.8292682926829268,0.2177777777777768,0.589581,cuda,dueling,scale,100.0,45200,0.0009353593958076,-0.3611778485774994,18.0,35.0,9.0,0.01,0.1627906976744186,0.0
